id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-31256,U(SbO3)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-31256.cif,train,-2.2942048841666653,-7.573732164171007,-2.5432792948593663,-2.5435357064828734,-2.454077081100744,9,3
mp-608543,Sc2CrC3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-608543.cif,train,-0.4676154024999993,-8.745712916056315,-0.5135677876078617,-0.5138944044227163,-0.3999421159757821,24,3
mp-1209109,RhF6,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1209109.cif,train,-1.3787460021428577,-3.861719676426479,-1.6358036686597337,-1.630555821154034,-3.461460433222363,28,2
mp-27322,Nb2Te3O11,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-27322.cif,train,-1.8250883844531245,-6.94327449798584,-2.090825976960134,-2.0896778822058257,-2.490232962830211,32,3
mp-621362,NdInAu,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-621362.cif,train,-0.8602982969444434,-4.324209425184462,-0.8016243654422874,-0.8025837928047865,-0.4678522707777668,9,3
mp-7600,Th(FeSi)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-7600.cif,train,-0.514881207999997,-7.741219329833984,-0.7439189017368601,-0.7441592096561189,-0.6603189537769167,5,3
mp-764457,Na3FeO4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-764457.cif,train,-1.6400467990624996,-4.926811695098877,-1.2725411377945512,-1.2706192237978318,-1.941149607307812,32,3
mp-778364,Na6Ti2O7,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-778364.cif,train,-2.4400615429722223,-6.118803914388021,-2.572942151643061,-2.57438929062409,-2.069501633009785,30,3
mp-437,MgAu,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-437.cif,train,-0.6128283824999983,-3.039380550384521,-0.6211959514719121,-0.622375527735306,-0.2108369648139863,2,2
mp-3988,BaCu3O4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-3988.cif,train,-1.3046398050000008,-5.346606254577637,-1.4020523216368508,-1.400980127863022,-1.775054359909055,8,3
mp-570340,AgAuCl4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-570340.cif,train,-0.4544363500000017,-2.59990660349528,-0.4982723083433402,-0.4955334124706025,-1.4510979710672316,12,3
mp-1185312,LiCu3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1185312.cif,train,-0.0051103941666656,-3.5809335708618164,-0.0748017450326319,-0.0749776259669321,-0.0136150933593794,4,2
